ticker,date,open,high,low,close,volume
TICK1,2023-01-27,159.4,170.99,132.47,132.32,13707330
TICK2,2023-03-25,121.78,126.14,131.59,134.19,42768453
TICK3,2024-09-13,117.95,105.52,123.64,156.05,39196653
TICK4,2023-09-19,124.62,181.37,127.74,160.5,12038900
TICK5,2023-09-29,142.02,170.98,156.34,102.42,44010843
TICK6,2024-05-20,180.01,187.36,169.99,134.53,46204414
TICK7,2023-11-09,195.53,100.13,114.72,130.94,58191841
TICK8,2024-12-16,183.53,141.53,152.31,174.93,36223915
TICK9,2024-10-05,159.25,141.11,172.6,181.29,66494933
TICK10,2024-11-26,137.32,128.7,156.56,143.46,69848366
TICK11,2024-02-19,172.71,195.59,183.29,147.6,6963099
TICK12,2024-08-23,143.64,193.51,109.36,191.73,76477422
TICK13,2023-11-27,169.05,117.68,107.06,170.54,88723270
TICK14,2023-07-10,169.49,134.54,183.2,185.33,35158494
TICK15,2024-11-10,128.64,163.1,180.2,115.89,41063671
TICK16,2024-08-20,154.1,193.6,199.82,108.36,43894822
TICK17,2024-09-09,155.95,163.78,138.64,148.79,5226086
TICK18,2023-12-21,190.64,132.16,115.4,161.99,28578114
TICK19,2024-09-24,196.32,124.31,127.97,156.65,73570693
TICK20,2024-02-22,160.78,139.45,189.93,139.53,51359479
TICK21,2024-07-17,194.2,151.26,170.67,182.08,9586186
TICK22,2023-03-10,145.33,185.86,139.5,190.12,3758789
TICK23,2023-06-20,162.97,172.68,128.5,199.39,35292867
TICK24,2023-12-22,183.81,192.53,122.88,111.69,14313965
TICK25,2023-01-06,184.12,156.09,140.67,115.29,74168283
TICK26,2024-10-28,164.7,123.57,179.77,165.64,14791540
TICK27,2024-04-05,167.74,162.21,135.85,124.53,78623651
TICK28,2024-12-16,111.64,186.95,190.38,134.32,60506225
TICK29,2024-06-12,103.94,183.01,168.97,133.45,30428690
TICK30,2023-01-09,199.02,167.24,191.39,152.54,13040507
TICK31,2024-01-28,119.2,194.06,110.7,104.59,66845340
TICK32,2023-11-02,166.98,105.67,119.03,167.91,43411476
TICK33,2024-01-08,171.97,131.27,162.37,120.15,94911586
TICK34,2024-03-14,100.07,154.54,177.19,148.53,15740888
TICK35,2024-05-17,137.87,163.89,106.04,130.01,72919195
TICK36,2023-10-18,180.06,191.27,156.95,131.72,71008235
TICK37,2023-03-25,109.94,150.81,116.42,130.52,47882618
TICK38,2023-05-27,125.74,178.73,169.63,116.33,65125964
TICK39,2024-03-28,124.52,181.16,148.09,103.39,77410536
TICK40,2023-07-30,169.04,132.55,190.57,182.34,1472369
TICK41,2023-09-28,188.18,190.9,111.66,172.12,25974128
TICK42,2023-06-28,184.25,121.87,151.87,183.24,50110488
TICK43,2023-04-09,180.81,165.68,140.64,138.61,98263932
TICK44,2024-01-18,122.24,161.03,122.58,168.58,88122964
TICK45,2023-04-22,104.4,128.58,189.13,110.44,74516719
TICK46,2024-03-28,137.62,104.46,144.15,126.88,74827746
TICK47,2023-05-18,104.32,122.53,149.1,155.84,55297843
TICK48,2024-04-04,111.69,124.73,111.09,177.04,34927191
TICK49,2023-03-03,112.01,135.01,188.22,109.34,91884189
TICK50,2024-11-16,146.55,113.28,125.08,125.08,79881972
TICK51,2024-01-25,150.48,115.72,117.25,157.94,87980333
TICK52,2024-10-18,135.43,139.51,136.74,182.84,65138335
TICK53,2024-10-08,153.94,126.06,122.88,139.23,53154907
TICK54,2023-03-09,140.17,147.69,166.85,133.3,44306367
TICK55,2024-10-07,172.56,170.37,146.42,112.82,48486521
TICK56,2024-06-27,176.3,134.87,173.73,132.58,51448331
TICK57,2023-05-04,185.72,122.18,172.51,196.88,5296915
TICK58,2023-09-02,167.01,104.66,146.1,124.86,86929131
TICK59,2024-01-08,181.93,190.06,119.62,157.28,20881105
TICK60,2023-01-31,128.31,123.32,147.09,192.14,96993412
TICK61,2023-09-20,105.38,195.04,139.38,142.92,52183365
